source_doc,main_work,process,sub_process,chunk_id,step_number,text,image_path,has_image,procedure_id,step_counter
'JI_104_03.1 -Receipting_IBodyShop.docx,Training Repairers on PartsCheck,Receipting,Receipting in IBodyShop,tpc_rec_rec_in_ibodyshop_001,1,"Click on Parts Manager. Click pending Invoices. Click on invoice. Fill in details on screen that comes up, Invoice number, total and date.",images/'JI_104_03.1 -Receipting_IBodyShop_img_0002.png,TRUE,tpc_rec_rec_in_ibodyshop,1
'JI_104_03.2 -Receipting_FlexiQuote Cloud.docx,Training Repairers on PartsCheck,Receipting,Receipting in Flexiquote Cloud,tpc_rec_rec_in_flexiquote_cloud_001,1,Click Creditor,images/'JI_104_03.2 -Receipting_FlexiQuote Cloud_img_0004.png,TRUE,tpc_rec_rec_in_flexiquote_cloud,1
'JI_104_03.2 -Receipting_FlexiQuote Cloud.docx,Training Repairers on PartsCheck,Receipting,Receipting in Flexiquote Cloud,tpc_rec_rec_in_flexiquote_cloud_002,2,Click PartsCheck,images/'JI_104_03.2 -Receipting_FlexiQuote Cloud_img_0005.png,TRUE,tpc_rec_rec_in_flexiquote_cloud,2
'JI_104_03.2 -Receipting_FlexiQuote Cloud.docx,Training Repairers on PartsCheck,Receipting,Receipting in Flexiquote Cloud,tpc_rec_rec_in_flexiquote_cloud_003,3,"Next, click Import from PartsCheck. This will import from PartsCheck that the part has been received.This will update the Quote.",images/'JI_104_03.2 -Receipting_FlexiQuote Cloud_img_0006.png,TRUE,tpc_rec_rec_in_flexiquote_cloud,3
'JI_104_03.3 -Receipting_FlexiQuote Desktop.docx,Training Repairers on PartsCheck,Receipting,Receipting in Flexiquote Desktop,tpc_rec_rec_in_flexiquote_desktop_001,1,Click Creditor. Click PartsCheck,images/'JI_104_03.3 -Receipting_FlexiQuote Desktop_img_0008.png,TRUE,tpc_rec_rec_in_flexiquote_desktop,1
'JI_104_03.3 -Receipting_FlexiQuote Desktop.docx,Training Repairers on PartsCheck,Receipting,Receipting in Flexiquote Desktop,tpc_rec_rec_in_flexiquote_desktop_002,2,Click Import fom PartsCheck. This will update the quote to have the received status updated,images/'JI_104_03.3 -Receipting_FlexiQuote Desktop_img_0009.png,TRUE,tpc_rec_rec_in_flexiquote_desktop,2
JI_103_01_Confirming Client Information.docx,Onboarding Repairers on PartsCheck,Confirming Client Information,Confirming Client Information,onb_repairers_on_partscheck_cci_confirming_client_information_001,1,"Check the ABN from the regisration form. Go to the ABN Lookup website at https://abr.business.gov.au/. Enter-in the ABN provided. Make sure that it is a registered ABN number and that it relates to the shop name that they have listed. If it is not registered, you cannot proceed to verify the shop. Take note that not all ABNs display the trading name.",images/JI_103_01_Confirming Client Information_img_0013.png,TRUE,onb_repairers_on_partscheck_cci_confirming_client_information,1
JI_103_01_Confirming Client Information.docx,Onboarding Repairers on PartsCheck,Confirming Client Information,Confirming Client Information,onb_repairers_on_partscheck_cci_confirming_client_information_002,2,Google search the business address. Make sure that it is a business address and not a home address. If it is a home address you will not be able to verify the shop.,,FALSE,onb_repairers_on_partscheck_cci_confirming_client_information,2
JI_103_01_Confirming Client Information.docx,Onboarding Repairers on PartsCheck,Verifying Customer details,Verifying Customer details,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details_001,3,"Do a website search. Search company name into a google page or Facebook to see what comes up.This can show that companies are closed, or give you an idea of shop size",,FALSE,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details,1
JI_103_03_Verifying Customer Details.docx,Onboarding Repairers on PartsCheck,Verifying Customer details,Verifying Customer details,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details_002,1,"Call the Customer and verify the following: Email Address, Contact person, Phone number, and the Quote Package. While talking to the customer verify all details that they have entered in the registration form, updating and changing any that are not correct. We need to make sure that all these details are correct. Update any that aren't.",images/JI_103_03_Verifying Customer Details_img_0019.png,TRUE,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details,2
